"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.MicrosoftEdge.Stable","131.0.2903.99","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdgeDevToolsClient","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftOfficeHub","18.2412.1274.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OneDriveSync","24221.1103.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OneDriveSync","24226.1110.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OutlookForWindows","1.2024.1211.400","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Paint","11.2410.39.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.PowerAutomateDesktop","1.0.1329.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Todos","2.114.7122.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.DevHome","0.0.0.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.SecureAssessmentBrowser","10.0.22621.2506","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsNotepad","11.2410.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Main.1.5","5001.311.2039.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Singleton","6000.318.2304.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftTeams","24334.1103.3302.5694","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MSTeams","24295.605.3225.8804","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"NcsiUwpApp","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"nomacs - Image Lounge","3.8.0","TU Wien","20200604"
"Office 16 Click-to-Run Extensibility Component","16.0.15726.20202","Microsoft Corporation","20221228"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.15726.20202","Microsoft Corporation","20221228"
"Office 16 Click-to-Run Licensing Component","16.0.15831.20184","Microsoft Corporation","20221228"
"Office 16 Click-to-Run Localization Component","16.0.15726.20202","Microsoft Corporation","20221228"
"PDF24 Creator 11.0.1","11.0.1","PDF24.org","20220407"
"PDF-XChange 4","4.0.203.0","Tracker Software Products Ltd","20220404"
"Sage 100","9.0.0.0","Sage GmbH","20220404"
"Sage 100 Version 9.0","9.0.0.65","Sage GmbH",
"Sage Connectivity Client","1.3.1.0","Sage GmbH","20230201"
"Sage Kommunikationsdienst","3.0.11.0","Sage GmbH","20230201"
"Sage Logging Service","9.0.10.0","Sage GmbH","20220404"
"Sage Mehrbenutzerdienst 4.0","4.0.18.1","Sage GmbH","20220404"
"Sage SageID","3.0.1.0","Sage GmbH","20230201"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220316"
"Teams Machine-Wide Installer","1.5.0.8070","Microsoft Corporation","20221228"
"TeamViewer","15.57.5","TeamViewer",
"UC eBanking prime OTC","1.7.0.0","UniCredit Bank GmbH",
"Update for Windows 10 for x64-based Systems (KB5001716)","4.91.0.0","Microsoft Corporation","20220216"
"VLC media player","2.2.3","VideoLAN",
"Wazuh Agent","4.7.3","Wazuh, Inc.","20240424"
"Web Components",,,"20231024"
