"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.OutlookForWindows","1.2024.1126.101","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Paint","11.2410.39.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.PowerAutomateDesktop","1.0.1329.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Todos","0.114.7122.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.DevHome","0.0.0.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.SecureAssessmentBrowser","10.0.22621.2506","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsNotepad","11.2410.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Main.1.5","5001.311.2039.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Singleton","6000.318.2304.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftTeams","24334.1103.3302.5694","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MSTeams","24295.605.3225.8804","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"NcsiUwpApp","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"nomacs - Image Lounge","3.8.0","TU Wien","20191004"
"Office 16 Click-to-Run Extensibility Component","16.0.18227.20082","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18227.20082","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Localization Component","16.0.18227.20082","Microsoft Corporation","20241217"
"Schmale Sammel_collect Generator 2.80 ","2.80","Schmale GmbH",
"Schmale Sammel_collect Generator 3.50","3.50","Schmale GmbH","20210225"
"Schmale Translator 2.90 ","2.90","Schmale GmbH",
"Schmale Translator 3.51","3.51","Schmale GmbH","20210225"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220311"
"Sentinel Runtime","7.41.1.56613","SafeNet Inc.","20210225"
"Teams Machine-Wide Installer","1.5.0.8070","Microsoft Corporation","20230102"
"TeamViewer Host","15.61.3","TeamViewer",
"Update for Windows 10 for x64-based Systems (KB5001716)","2.71.0.0","Microsoft Corporation","20210920"
"VLC media player","3.0.8","VideoLAN",
"Wazuh Agent","4.7.3","Wazuh, Inc.","20240515"
"Web Components",,,"20230124"
"Windows 10-Update-Assistent","1.4.9200.22807","Microsoft Corporation",
"Windows Driver Package - HP Inc. BrCow_4_1_6_3285 ActivityMonitor  (06/26/2019 4.1.6.3285)","06/26/2019 4.1.6.3285","HP Inc.",
"Windows Driver Package - HP Inc. BrFilter_4_1_6_3285 ActivityMonitor  (06/26/2019 4.1.6.3285)","06/26/2019 4.1.6.3285","HP Inc.",
